login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
KarishmaBothara,37,2,106,3,9,2,64,1,2,3,4996.925,97,51,0,0,0,0,5,0.169725026,0.041099747,0.182752295,0.041099747,126.6666667,51,16,0,0.044291844,20.27610579,Human,Issues/PRs
capistrano-bot,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
sarbbottam,1,1,1,1,8,3,1,1,27,27,0,128,294,0,0,0,0,0,0.099449032,0.28138743,0.156828119,0.285093526,101.6666667,220.6666667,0,0,0,0,Human,Issues/PRs
rails-bot,0,0,0,0,0,0,0,0,66,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
acs-bot,0,0,0,0,123,1,0,0,4,0,0,66,139.5,0,1,0,1,5,0.957251846,0,0.922902267,0.107596125,92.69335142,472.9863158,0,0,0,0,Bot,Issues/PRs
gitmate-bot,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
ebot1234,2,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
getsentry-bot,71,3,0,0,0,0,31,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0.632455532,0.575958633,6.720430108,Bot,Issues/PRs
dangerpr-bot,0,0,0,0,35,1,0,0,0,0,0.616666667,3,0,0,1,0,1,0,0.978826239,0,0.974138065,0,7.189655172,0,0,0,0,0,Bot,Issues/PRs
botika,29,4,12,2,14,3,239,1,29,5,0,46,0,0,0,0,0,8,0.18152705,0,0.18152705,0,46,0,7,0,0.201178327,6,Human,Issues/PRs
cjbottaro,7,3,4,2,1,1,14,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.049589992,35.15384615,Human,Issues/PRs
OpenCombineBot,0,0,11,1,13,1,0,0,0,0,3.133333333,17,727,0,0,0,1,0,0.972972973,0.869421971,0.972972973,0.593663149,17.2,738.4545455,0,0,0,0,Bot,Issues/PRs
traverson-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
sofastack-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
workbox-pr-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
tensorflow-graphics-github-robot,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
